,ID_GPS,ISO,Country,Partyname,V14,Group,Group_region,Region,longitude,latitude
16063,510,KEN,Kenya,Orange Democratic Movement,4.6,,Region7,Sub-Saharan Africa,37.906193,-0.023559
16126,511,KEN,Kenya,Party for Development and Reform,10,E,Region7,Sub-Saharan Africa,37.906193,-0.023559
16127,513,KEN,Kenya,Wiper Democratic Movement - Kenya,4.25,,Region7,Sub-Saharan Africa,37.906193,-0.023559
16159,514,KGZ,Kyrgyzstan,Kyrgyzstan Party,2,,Region2,Europe and Central Asia,74.766098,41.20438
16282,515,KGZ,Kyrgyzstan,Onuguu-Progress,2,,Region2,Europe and Central Asia,74.766098,41.20438
16283,519,KGZ,Kyrgyzstan,Stay United,2,,Region2,Europe and Central Asia,74.766098,41.20438
16345,520,KHM,Cambodia,Cambodian People's Party,4.25,,Region1,East Asia and the Pacific,104.990963,12.565679
16376,521,KHM,Cambodia,League for Democracy Party,5,,Region1,East Asia and the Pacific,104.990963,12.565679
16377,522,KHM,Cambodia,"National United Front for an Independent, Neutral, Peaceful and Cooperative Cambodia ",4.333333333,,Region1,East Asia and the Pacific,104.990963,12.565679
16393,523,KOR,Republic of Korea,Independents,3,,Region1,East Asia and the Pacific,127.766922,35.907757
16630,524,KOR,Republic of Korea,Justice Party,2.333333333,,Region1,East Asia and the Pacific,127.766922,35.907757
16631,525,KOR,Republic of Korea,Minjoo Party,3.125,,Region1,East Asia and the Pacific,127.766922,35.907757
16868,526,KOR,Republic of Korea,New Frontier Party,7,B,Region1,East Asia and the Pacific,127.766922,35.907757
16869,527,KOR,Republic of Korea,People's Party,4,,Region1,East Asia and the Pacific,127.766922,35.907757
16988,528,KWT,Kuwait,Hadas,4,,Region4,Middle East and North Africa,47.481766,29.31166
16989,529,KWT,Kuwait,Islamic Salafi Alliance,9,D,Region4,Middle East and North Africa,47.481766,29.31166
16990,530,KWT,Kuwait,Justice and Peace Alliance,9,D,Region4,Middle East and North Africa,47.481766,29.31166
16991,531,KWT,Kuwait,Kuwait Democratic Forum,1.5,,Region4,Middle East and North Africa,47.481766,29.31166
16992,532,KWT,Kuwait,National Democratic Alliance,1.5,,Region4,Middle East and North Africa,47.481766,29.31166
16993,533,KWT,Kuwait,National Islamic Alliance,7,B,Region4,Middle East and North Africa,47.481766,29.31166
16994,534,KWT,Kuwait,Popular Action Bloc,4,,Region4,Middle East and North Africa,47.481766,29.31166
16995,535,LAO,Laos,Independents,2,,Region1,East Asia and the Pacific,102.495496,19.85627
17004,536,LAO,Laos,Lao People's Revolutionary Party,3.428571429,,Region1,East Asia and the Pacific,102.495496,19.85627
17005,538,LBN,Lebanon,Azm Party,4.5,,Region4,Middle East and North Africa,35.862285,33.854721
17016,539,LBN,Lebanon,Free Patriotic Movement,4.75,,Region4,Middle East and North Africa,35.862285,33.854721
17017,541,LBN,Lebanon,Independents/Others,1.25,,Region4,Middle East and North Africa,35.862285,33.854721
17028,542,LBN,Lebanon,Kataeb-Phalangist Party,2.857142857,,Region4,Middle East and North Africa,35.862285,33.854721
17029,544,LBN,Lebanon,Tadamun Party (Solidarity),5,,Region4,Middle East and North Africa,35.862285,33.854721
17035,548,LBY,Libya,Libyan National Democratic Party,4,,Region4,Middle East and North Africa,17.228331,26.3351
17038,549,LBY,Libya,National Centrist Party,3,,Region4,Middle East and North Africa,17.228331,26.3351
17039,551,LBY,Libya,National Front Party,2,,Region4,Middle East and North Africa,17.228331,26.3351
17051,557,LSO,Lesotho,All Basotho Convention,3.6,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17062,558,LSO,Lesotho,Alliance of Democrats,3.333333333,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17073,559,LSO,Lesotho,Basotho National Party,4.857142857,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17084,560,LSO,Lesotho,Basutoland Congress Party,3.666666667,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17095,561,LSO,Lesotho,Democratic Congress,3.166666667,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17106,562,LSO,Lesotho,Lesotho Congress for Democracy,4.2,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17117,563,LSO,Lesotho,Movement for Economic Change,3.4,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17128,564,LSO,Lesotho,National Independent Party,7,B,Region7,Sub-Saharan Africa,28.233608,-29.609988
17139,565,LSO,Lesotho,Popular Front for Democracy,3,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17150,566,LSO,Lesotho,Reformed Congress of Lesotho,2.833333333,,Region7,Sub-Saharan Africa,28.233608,-29.609988
17161,568,LTU,Lithuania,Independents,6,A,Region2,Europe and Central Asia,23.881275,55.169438
17390,569,LTU,Lithuania,Labor Party,6.666666667,A,Region2,Europe and Central Asia,23.881275,55.169438
17391,570,LTU,Lithuania,Liberal Movement,1.75,,Region2,Europe and Central Asia,23.881275,55.169438
17620,571,LTU,Lithuania,Lithuanian Center Party,7,B,Region2,Europe and Central Asia,23.881275,55.169438
17621,577,LUX,Luxembourg,Alternative Democratic Reform Party,3,,Region2,Europe and Central Asia,6.129583,49.815273
17824,578,LUX,Luxembourg,Christian Social People's Party,2.5,,Region2,Europe and Central Asia,6.129583,49.815273
17825,579,LUX,Luxembourg,Communist Party of Luxembourg,2,,Region2,Europe and Central Asia,6.129583,49.815273
18027,580,LUX,Luxembourg,Democratic Party,2,,Region2,Europe and Central Asia,6.129583,49.815273
18130,581,LUX,Luxembourg,Luxembourg Socialist Workers' Party,1.5,,Region2,Europe and Central Asia,6.129583,49.815273
18131,582,LUX,Luxembourg,Party for Complete Democracy,2,,Region2,Europe and Central Asia,6.129583,49.815273
18334,583,LUX,Luxembourg,Pirate Party,1.5,,Region2,Europe and Central Asia,6.129583,49.815273
18335,584,LUX,Luxembourg,The Green Alternative,3.666666667,,Region2,Europe and Central Asia,6.129583,49.815273
18538,585,LUX,Luxembourg,The Left,1,,Region2,Europe and Central Asia,6.129583,49.815273
18539,586,LVA,Latvia,For Development/For!,1.666666667,,Region2,Europe and Central Asia,24.603189,56.879635
18756,587,LVA,Latvia,From the Heart for Latvia,3.333333333,,Region2,Europe and Central Asia,24.603189,56.879635
18757,588,LVA,Latvia,Harmony,2.666666667,,Region2,Europe and Central Asia,24.603189,56.879635
18974,589,LVA,Latvia,Latvian Association of Regions,4.5,,Region2,Europe and Central Asia,24.603189,56.879635
18975,591,LVA,Latvia,New Unity,2.571428571,,Region2,Europe and Central Asia,24.603189,56.879635
19192,592,LVA,Latvia,The New Conservative Party,5.428571429,,Region2,Europe and Central Asia,24.603189,56.879635
19193,593,LVA,Latvia,Union of Greens and Farmers,3.5,,Region2,Europe and Central Asia,24.603189,56.879635
19410,594,LVA,Latvia,Who Owns the State,2.333333333,,Region2,Europe and Central Asia,24.603189,56.879635
19411,595,MAC,North Macedonia,Alliance of Albanians,8,C,Region2,Europe and Central Asia,113.543873,22.198745
19412,596,MAC,North Macedonia,Besa Movement,8,C,Region2,Europe and Central Asia,113.543873,22.198745
19413,597,MAC,North Macedonia,Democratic Party of Albanians,7.5,B,Region2,Europe and Central Asia,113.543873,22.198745
19414,598,MAC,North Macedonia,Democratic Union for Integration,8,C,Region2,Europe and Central Asia,113.543873,22.198745
19415,599,MAC,North Macedonia,Internal Macedonian Revolutionary Organization-Democratic Party for Macedonian Nati,5.2,,Region2,Europe and Central Asia,113.543873,22.198745
19416,603,MAR,Morocco,Democratic and Social Movement,1,,Region4,Middle East and North Africa,-7.09262,31.791702
19437,604,MAR,Morocco,Federation of the Democratic Left,0.666666667,,Region4,Middle East and North Africa,-7.09262,31.791702
19458,612,MDA,Moldova,Liberal Democratic Party,4,,Region2,Europe and Central Asia,28.369885,47.411631
19511,616,MDG,Madagascar,Andrin Ny Madagasikara,0,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19546,617,MDG,Madagascar,Antoko Maitso,1.5,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19547,618,MDG,Madagascar,Economic Liberalism and Democratic Action for National Recovery,1.333333333,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19582,619,MDG,Madagascar,Hiaraka Isika,0,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19583,620,MDG,Madagascar,Independents and Minor Parties,1,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19618,621,MDG,Madagascar,Ravalomanana Movement,1.25,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19619,622,MDG,Madagascar,Sambo Fiaran I Noe,2,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19655,624,MDG,Madagascar,Vondrona Politika Miara dia Malagasy Miara Miainga,1,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19690,625,MDG,Madagascar,With President Andry Rajoelina,2.4,,Region7,Sub-Saharan Africa,46.869107,-18.766947
19691,626,MDV,Maldives,Adhaalath Party,8.25,C,Region6,South Asia,73.22068,3.202778
19706,627,MDV,Maldives,Jumhooree Party,5.5,,Region6,South Asia,73.22068,3.202778
19707,628,MDV,Maldives,Maldives Development Alliance,6,A,Region6,South Asia,73.22068,3.202778
19722,629,MDV,Maldives,Maldivian Democratic Party,2,,Region6,South Asia,73.22068,3.202778
19723,630,MDV,Maldives,Progressive Party of Maldives,4.666666667,,Region6,South Asia,73.22068,3.202778
19731,632,MEX,Mexico,Independent,1,,Region3,Latin America and the Caribbean,-102.552784,23.634501
19954,639,MEX,Mexico,Partido Humanista,8,C,Region3,Latin America and the Caribbean,-102.552784,23.634501
20213,650,MLT,Malta,Forza Nazzjonali,2.666666667,,Region2,Europe and Central Asia,14.375416,35.937496
20262,651,MLT,Malta,Malta Labor Party,2.9,,Region2,Europe and Central Asia,14.375416,35.937496
20263,652,MMR,Myanmar,Arakan National Party,3.6,,Region1,East Asia and the Pacific,95.956223,21.913965
20274,653,MMR,Myanmar,Kachin State Democracy Party,2,,Region1,East Asia and the Pacific,95.956223,21.913965
20275,654,MMR,Myanmar,Kokang Democracy and Unity Party,2.75,,Region1,East Asia and the Pacific,95.956223,21.913965
20286,655,MMR,Myanmar,Lisu National Development Party,3,,Region1,East Asia and the Pacific,95.956223,21.913965
20287,656,MMR,Myanmar,National League for Democracy,2.142857143,,Region1,East Asia and the Pacific,95.956223,21.913965
20298,657,MMR,Myanmar,Pa-O National Organization,2.5,,Region1,East Asia and the Pacific,95.956223,21.913965
20299,658,MMR,Myanmar,Shan Nationalities League for Democracy,2.5,,Region1,East Asia and the Pacific,95.956223,21.913965
20310,659,MMR,Myanmar,Ta-Arng Nationality Party,3,,Region1,East Asia and the Pacific,95.956223,21.913965
20311,660,MMR,Myanmar,Union Solidarity and Development Party,4.6,,Region1,East Asia and the Pacific,95.956223,21.913965
20322,661,MMR,Myanmar,Zomi Congress for Democracy,2.75,,Region1,East Asia and the Pacific,95.956223,21.913965
20323,663,MNE,Montenegro,Bosniak Party,7.5,B,Region2,Europe and Central Asia,19.37439,42.708678
20333,664,MNE,Montenegro,Croatian Civic Initiative,4,,Region2,Europe and Central Asia,19.37439,42.708678
20343,665,MNE,Montenegro,Democratic Front,9,D,Region2,Europe and Central Asia,19.37439,42.708678
20353,666,MNE,Montenegro,Democratic Montenegro,5,,Region2,Europe and Central Asia,19.37439,42.708678
20363,668,MNE,Montenegro,Key Coalition,4,,Region2,Europe and Central Asia,19.37439,42.708678
20373,670,MNE,Montenegro,Social Democrats of Montenegro,0.666666667,,Region2,Europe and Central Asia,19.37439,42.708678
20383,671,MNG,Mongolia,Democratic Party,4,,Region1,East Asia and the Pacific,103.846656,46.862496
20408,672,MNG,Mongolia,Independents,4,,Region1,East Asia and the Pacific,103.846656,46.862496
20409,673,MNG,Mongolia,Mongolian People's Revolutionary Party,5.75,,Region1,East Asia and the Pacific,103.846656,46.862496
20434,674,MNG,Mongolia,Mongolian People’s Party,4.5,,Region1,East Asia and the Pacific,103.846656,46.862496
20435,675,MOZ,Mozambique,Mozambican Liberation Front,4,,Region7,Sub-Saharan Africa,35.529562,-18.665695
20467,677,MOZ,Mozambique,Mozambique Democratic Movement,5.5,,Region7,Sub-Saharan Africa,35.529562,-18.665695
20483,678,MRT,Mauritania,National Rally for Reform and Development,8,C,Region7,Sub-Saharan Africa,-10.940835,21.00789
20513,680,MRT,Mauritania,Union for the Republic,8,C,Region7,Sub-Saharan Africa,-10.940835,21.00789
20528,681,MUS,Mauritius,Militant Socialist Movement (Mouvement Socialist Mauricien) - Maurition Social Demo,3,,Region7,Sub-Saharan Africa,57.552152,-20.348404
20551,682,MUS,Mauritius,Rodrigues People's Organisation,2.75,,Region7,Sub-Saharan Africa,57.552152,-20.348404
20552,683,MUS,Mauritius,The Labor Party - Mauritian Militant Movement,3,,Region7,Sub-Saharan Africa,57.552152,-20.348404
20564,684,MWI,Malawi,Alliance for Democracy,4,,Region7,Sub-Saharan Africa,34.301525,-13.254308
20595,685,MWI,Malawi,Democratic Progressive Party,3,,Region7,Sub-Saharan Africa,34.301525,-13.254308
20596,686,MWI,Malawi,Independents,2,,Region7,Sub-Saharan Africa,34.301525,-13.254308
20627,687,MWI,Malawi,Malawi Congress Party,3.75,,Region7,Sub-Saharan Africa,34.301525,-13.254308
20628,688,MWI,Malawi,People's Party,2.833333333,,Region7,Sub-Saharan Africa,34.301525,-13.254308
20659,689,MWI,Malawi,United Democratic Front,3,,Region7,Sub-Saharan Africa,34.301525,-13.254308
20660,690,MWI,Malawi,United Transformation Unit,2,,Region7,Sub-Saharan Africa,34.301525,-13.254308
20676,691,MYS,Malaysia,Alliance of Hope,2.7,,Region1,East Asia and the Pacific,101.975766,4.210484
20775,692,MYS,Malaysia,Independents,4,,Region1,East Asia and the Pacific,101.975766,4.210484
20776,695,MYS,Malaysia,Sabah Heritage Party,4.2,,Region1,East Asia and the Pacific,101.975766,4.210484
20826,696,NAM,Namibia,All People's Party,0,,Region7,Sub-Saharan Africa,18.49041,-22.95764
20843,697,NAM,Namibia,Democratic Turnhalle Alliance of Namibia,4,,Region7,Sub-Saharan Africa,18.49041,-22.95764
20844,698,NAM,Namibia,Rally of Democracy and Progress,0,,Region7,Sub-Saharan Africa,18.49041,-22.95764
20861,699,NAM,Namibia,SWAPO Party of Namibia,3,,Region7,Sub-Saharan Africa,18.49041,-22.95764
20862,700,NAM,Namibia,United Democratic Front,2,,Region7,Sub-Saharan Africa,18.49041,-22.95764
20871,703,NGA,Nigeria,African Peoples Alliance,2.333333333,,Region7,Sub-Saharan Africa,8.675277,9.081999
20938,706,NGA,Nigeria,Allied Congress Party of Nigeria ,2,,Region7,Sub-Saharan Africa,8.675277,9.081999
20939,707,NGA,Nigeria,Citizens Popular Party,2,,Region7,Sub-Saharan Africa,8.675277,9.081999
21006,710,NGA,Nigeria,Peoples Party of Nigeria,2,,Region7,Sub-Saharan Africa,8.675277,9.081999
21082,712,NIC,Nicaragua,Conservative Party of Nicaragua,3.5,,Region3,Latin America and the Caribbean,-85.207229,12.865416
21083,713,NIC,Nicaragua,Independent Liberal Party,3.5,,Region3,Latin America and the Caribbean,-85.207229,12.865416
21158,714,NIC,Nicaragua,Liberal Constitutionalist Party,3.5,,Region3,Latin America and the Caribbean,-85.207229,12.865416
21234,716,NIC,Nicaragua,Sandinista National Liberation Front,1.666666667,,Region3,Latin America and the Caribbean,-85.207229,12.865416
21235,737,NPL,Nepal,Communist Party of Nepal,2.8,,Region6,South Asia,84.124008,28.394857
21250,736,NPL,Nepal,Communist Party of Nepal (Maoist Centre),2.666666667,,Region6,South Asia,84.124008,28.394857
21251,738,NPL,Nepal,"Federal Socialist Forum, Nepal",3.888888889,,Region6,South Asia,84.124008,28.394857
21266,744,NPL,Nepal,National Democracy Party,4.333333333,,Region6,South Asia,84.124008,28.394857
21267,743,NPL,Nepal,National Janata Party,3,,Region6,South Asia,84.124008,28.394857
21282,742,NPL,Nepal,National People's Front,3.625,,Region6,South Asia,84.124008,28.394857
21283,740,NPL,Nepal,Nepal Worker's Peasants Party,3.75,,Region6,South Asia,84.124008,28.394857
21298,741,NPL,Nepal,Nepali Congress,2.571428571,,Region6,South Asia,84.124008,28.394857
21299,739,NPL,Nepal,New Power Party,2.5,,Region6,South Asia,84.124008,28.394857
21307,751,PAK,Pakistan,Balochistan Awami Party,5,,Region6,South Asia,69.345116,30.375321
21433,752,PAK,Pakistan,Grand Democratic Alliance,4.333333333,,Region6,South Asia,69.345116,30.375321
21559,760,PAN,Panama,Democratic Change,5,,Region3,Latin America and the Caribbean,-80.782127,8.537981
21868,761,PAN,Panama,Democratic Revolutionary Party,3,,Region3,Latin America and the Caribbean,-80.782127,8.537981
21869,762,PAN,Panama,Independents,3,,Region3,Latin America and the Caribbean,-80.782127,8.537981
22178,763,PAN,Panama,Liberal Republican Nationalist Movement,3,,Region3,Latin America and the Caribbean,-80.782127,8.537981
22179,764,PAN,Panama,Panemeñista Party,3.333333333,,Region3,Latin America and the Caribbean,-80.782127,8.537981
22334,769,PER,Peru,Popular Alliance,3.5,,Region3,Latin America and the Caribbean,-75.015152,-9.189967
22491,777,PHL,Philippines,United Nationalist Alliance ,4.8,,Region1,East Asia and the Pacific,121.774017,12.879721
22548,778,PNG,Papua New Guinea,National Alliance Party,5.5,,Region1,East Asia and the Pacific,143.95555,-6.314993
22551,779,PNG,Papua New Guinea,Pangu Party,5.5,,Region1,East Asia and the Pacific,143.95555,-6.314993
22552,780,PNG,Papua New Guinea,Papua New Guinea Party,10,E,Region1,East Asia and the Pacific,143.95555,-6.314993
22555,781,PNG,Papua New Guinea,People's Labour Party,10,E,Region1,East Asia and the Pacific,143.95555,-6.314993
22556,782,PNG,Papua New Guinea,People's National Congress,5.5,,Region1,East Asia and the Pacific,143.95555,-6.314993
22559,783,PNG,Papua New Guinea,People's Progress Party,10,E,Region1,East Asia and the Pacific,143.95555,-6.314993
22560,784,PNG,Papua New Guinea,PNG National Party,10,E,Region1,East Asia and the Pacific,143.95555,-6.314993
22563,785,PNG,Papua New Guinea,Social Democratic Party,0.5,,Region1,East Asia and the Pacific,143.95555,-6.314993
22564,786,PNG,Papua New Guinea,Triumph Heritage Empowerment Rural Party,3.75,,Region1,East Asia and the Pacific,143.95555,-6.314993
22567,787,PNG,Papua New Guinea,United Resources Party,10,E,Region1,East Asia and the Pacific,143.95555,-6.314993
22568,789,POL,Poland,Independents,3,,Region2,Europe and Central Asia,19.145136,51.919438
22766,792,PRT,Portugal,Democratic Unity Coalition,1.5,,Region2,Europe and Central Asia,-8.224454,39.399872
22929,793,PRT,Portugal,Left Bloc,0.625,,Region2,Europe and Central Asia,-8.224454,39.399872
22930,794,PRT,Portugal,People-Animals-Nature,1,,Region2,Europe and Central Asia,-8.224454,39.399872
23093,795,PRT,Portugal,Portugal Ahead,2.8,,Region2,Europe and Central Asia,-8.224454,39.399872
23094,796,PRT,Portugal,Socialist Party,1.142857143,,Region2,Europe and Central Asia,-8.224454,39.399872
23176,797,PRY,Paraguay,Authentic Liberal Radical Party,6.857142857,A,Region3,Latin America and the Caribbean,-58.443832,-23.442503
23395,798,PRY,Paraguay,Beloved Fatherland,7.777777778,B,Region3,Latin America and the Caribbean,-58.443832,-23.442503
23396,799,PRY,Paraguay,Green Party,2.2,,Region3,Latin America and the Caribbean,-58.443832,-23.442503
23506,800,PRY,Paraguay,Let's Do It,7,B,Region3,Latin America and the Caribbean,-58.443832,-23.442503
23725,801,PRY,Paraguay,National Crusade Movement,7,B,Region3,Latin America and the Caribbean,-58.443832,-23.442503
23726,802,PRY,Paraguay,National Encounter Party,3.916666667,,Region3,Latin America and the Caribbean,-58.443832,-23.442503
23945,803,PRY,Paraguay,National Republican Association - Colorado Party,7.5,B,Region3,Latin America and the Caribbean,-58.443832,-23.442503
23955,826,SDN,Sudan,Democratic Unionist Party (led by Jalal al-Digair),4,,Region7,Sub-Saharan Africa,30.217636,12.862807
23964,827,SDN,Sudan,Independents/Other Parties,0,,Region7,Sub-Saharan Africa,30.217636,12.862807
23973,828,SDN,Sudan,National Congress,10,E,Region7,Sub-Saharan Africa,30.217636,12.862807
23982,829,SGP,Singapore,Independent,4,,Region1,East Asia and the Pacific,103.819836,1.352083
24095,830,SGP,Singapore,National Solidarity Party,2.666666667,,Region1,East Asia and the Pacific,103.819836,1.352083
24096,832,SGP,Singapore,People's Power Party,3,,Region1,East Asia and the Pacific,103.819836,1.352083
24209,833,SGP,Singapore,Reform Party,3,,Region1,East Asia and the Pacific,103.819836,1.352083
24210,834,SGP,Singapore,Singapore Democratic Alliance,3.5,,Region1,East Asia and the Pacific,103.819836,1.352083
24323,836,SGP,Singapore,Singapore People’s Party,3,,Region1,East Asia and the Pacific,103.819836,1.352083
24324,837,SGP,Singapore,Singaporeans First,2,,Region1,East Asia and the Pacific,103.819836,1.352083
24395,846,SLE,Sierra Leone,All People's Congress ,7,B,Region7,Sub-Saharan Africa,-11.779889,8.460555
24451,850,SLE,Sierra Leone,Sierra Leone People's Party,7,B,Region7,Sub-Saharan Africa,-11.779889,8.460555
24465,855,SLV,El Salvador,Grand Alliance for National Unity,7.5,B,Region3,Latin America and the Caribbean,-88.89653,13.794185
24582,861,SOM,Somalia,Democratic Party of Somalia,9,D,Region7,Sub-Saharan Africa,46.199616,5.152149
24584,863,SOM,Somalia,Peace and Development Party,5.5,,Region7,Sub-Saharan Africa,46.199616,5.152149
24587,866,SOM,Somalia,Somalia Green Party,1.5,,Region7,Sub-Saharan Africa,46.199616,5.152149
24588,867,SOM,Somalia,Tayo Party,6,A,Region7,Sub-Saharan Africa,46.199616,5.152149
24589,868,SRB,Serbia,Coalition for a Better Serbia,1.666666667,,Region2,Europe and Central Asia,21.005859,44.016521
24638,875,STP,Sao Tome and Principe,Force for Change Democratic Movement - Democratic Convergence Party,4.5,,Region7,Sub-Saharan Africa,6.613081,0.18636
24641,876,STP,Sao Tome and Principe,Independent Democratic Action,4.5,,Region7,Sub-Saharan Africa,6.613081,0.18636
24643,877,STP,Sao Tome and Principe,Movement for the Liberation of Sao Tome and Principe-Social Democratic Party,4.5,,Region7,Sub-Saharan Africa,6.613081,0.18636
24644,878,STP,Sao Tome and Principe,Sao Tome and Principe Independent Citizen Movement Party,4.5,,Region7,Sub-Saharan Africa,6.613081,0.18636
24646,879,SUR,Suriname,A Combination,3,,Region3,Latin America and the Caribbean,-56.027783,3.919305
24654,880,SUR,Suriname,National Democratic Party,4,,Region3,Latin America and the Caribbean,-56.027783,3.919305
24662,881,SUR,Suriname,Party for Democracy and Development through Unity,2,,Region3,Latin America and the Caribbean,-56.027783,3.919305
24670,882,SUR,Suriname,Progressive Reform Party,3.5,,Region3,Latin America and the Caribbean,-56.027783,3.919305
24678,883,SUR,Suriname,Progressive Workers' and Farmers' Union,4.5,,Region3,Latin America and the Caribbean,-56.027783,3.919305
24686,895,SVN,Slovenia,List of Marjan Sarec,3.1,,Region2,Europe and Central Asia,14.995463,46.151241
24829,905,SWE,Sweden,Liberal Party,1.47826087,,Region2,Europe and Central Asia,18.643501,60.128161
25032,910,SWZ,Eswatini,Communist Party,2,,Region7,Sub-Saharan Africa,31.465866,-26.522503
25039,911,SWZ,Eswatini,Ngwane National Liberatory Congress,1.5,,Region7,Sub-Saharan Africa,31.465866,-26.522503
25043,912,SWZ,Eswatini,People's United Democratic Movement,0.333333333,,Region7,Sub-Saharan Africa,31.465866,-26.522503
25044,913,SYR,Syrian Arab Republic,Independents,7,B,Region4,Middle East and North Africa,38.996815,34.802075
25047,914,SYR,Syrian Arab Republic,National Progressive Front,5,,Region4,Middle East and North Africa,38.996815,34.802075
25049,915,SYR,Syrian Arab Republic,Popular Front for Change and Liberation,5.666666667,,Region4,Middle East and North Africa,38.996815,34.802075
25050,916,TCD,Chad,Chadian Convention for Peace and Development,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25061,917,TCD,Chad,Democratic and Socialist Party for Alternation,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25062,918,TCD,Chad,Federation Action for the Republic,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25073,919,TCD,Chad,National Rally for Democracy in Chad,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25074,920,TCD,Chad,National Rally for Development and Progress,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25085,921,TCD,Chad,National Union for Democracy and Renewal,3,,Region7,Sub-Saharan Africa,18.732207,15.454166
25086,922,TCD,Chad,Party for Unity and Reconstruction,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25097,923,TCD,Chad,Patriotic Salvation Movement,3,,Region7,Sub-Saharan Africa,18.732207,15.454166
25098,924,TCD,Chad,Rally for Democracy and Progress,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25109,925,TCD,Chad,Union for Renewal and Democracy,4,,Region7,Sub-Saharan Africa,18.732207,15.454166
25126,933,THA,Thailand,Future Forward,0,,Region1,East Asia and the Pacific,100.992541,15.870032
25238,934,THA,Thailand,New Economics Party,6,A,Region1,East Asia and the Pacific,100.992541,15.870032
25350,935,THA,Thailand,Palang Pracharat Party,8.5,C,Region1,East Asia and the Pacific,100.992541,15.870032
25462,937,THA,Thailand,Prachachart Party,9,D,Region1,East Asia and the Pacific,100.992541,15.870032
25574,939,THA,Thailand,Thai Liberal Party,5.5,,Region1,East Asia and the Pacific,100.992541,15.870032
25686,940,TJK,Tajikistan,Agrarian Party of Tajikistan,3.333333333,,Region2,Europe and Central Asia,71.276093,38.861034
25700,941,TJK,Tajikistan,Communist Party of Tajikistan,2.666666667,,Region2,Europe and Central Asia,71.276093,38.861034
25714,942,TJK,Tajikistan,Party of Economic Reforms,2.666666667,,Region2,Europe and Central Asia,71.276093,38.861034
25728,943,TJK,Tajikistan,People's Democratic Party,3,,Region2,Europe and Central Asia,71.276093,38.861034
25742,944,TJK,Tajikistan,The Socialist Party,2,,Region2,Europe and Central Asia,71.276093,38.861034
25792,948,TLS,Timor Leste,Change for Progress Alliance,4.333333333,,Region1,East Asia and the Pacific,125.727539,-8.874217
25797,949,TLS,Timor Leste,Democratic Development Front,5,,Region1,East Asia and the Pacific,125.727539,-8.874217
25798,950,TLS,Timor Leste,Hope of the Fatherland Party,8,C,Region1,East Asia and the Pacific,125.727539,-8.874217
25803,951,TLS,Timor Leste,National Development Movement,3,,Region1,East Asia and the Pacific,125.727539,-8.874217
25804,952,TLS,Timor Leste,Republican Party,6,A,Region1,East Asia and the Pacific,125.727539,-8.874217
25809,953,TLS,Timor Leste,Revolutionary Front for an Independent East Timor,2.6,,Region1,East Asia and the Pacific,125.727539,-8.874217
25810,954,TLS,Timor Leste,Social Democratic Movement,2,,Region1,East Asia and the Pacific,125.727539,-8.874217
25815,955,TLS,Timor Leste,Timorese Democratic Party,3.6,,Region1,East Asia and the Pacific,125.727539,-8.874217
25816,956,TTO,Trinidad and Tobago,Congress of the People,8,C,Region3,Latin America and the Caribbean,-61.222503,10.691803
25845,957,TTO,Trinidad and Tobago,People's National Movement,8,C,Region3,Latin America and the Caribbean,-61.222503,10.691803
25846,958,TTO,Trinidad and Tobago,United National Congress,9,D,Region3,Latin America and the Caribbean,-61.222503,10.691803
25861,971,TWN,Taiwan,Green-Social Democratic Coalition,1,,Region1,East Asia and the Pacific,120.960515,23.69781
26064,974,TWN,Taiwan,Non-Partisan Solidarity Union,8.5,C,Region1,East Asia and the Pacific,120.960515,23.69781
26267,978,TZA,Tanzania,Alliance for Change and Transparency,2.6,,Region7,Sub-Saharan Africa,34.888822,-6.369028
26290,984,UGA,Uganda,Forum for Democratic Change,3.8,,Region7,Sub-Saharan Africa,32.290275,1.373333
26351,985,UGA,Uganda,Independents,4.666666667,,Region7,Sub-Saharan Africa,32.290275,1.373333
26352,988,UGA,Uganda,Uganda People's Defense Force,3,,Region7,Sub-Saharan Africa,32.290275,1.373333
